seed,deleted_samples,window_size,test_size,hidden_size,n_head,num_layers,epoch_number,Target,LR,dropout,batch_size,grad_clip,MAE,MAPE,MSE,RMSE,r2,runtime
1048596,12,8,4,128,8,3,30,FE,1e-05,0.1,16,0.01,1391.3975830078125,41.365089640021324,2611761.6953125,1391.3975830078125,-inf,294.588608
1048596,12,8,4,8,8,3,30,IND,0.1,0.5,16,1.0,851.6925048828125,42.36555024981499,1107470.6171875,851.6925048828125,-inf,221.497347
1048596,12,8,4,8,8,3,120,NAE,0.1,0.5,16,0.01,921.2027587890625,85.10130755603313,937070.9765625,921.2027587890625,-inf,863.860945
1048596,12,8,4,128,2,3,30,NE,0.1,0.1,128,1.0,1354.4351806640625,67.24466308951378,2105907.3984375,1354.4351806640625,-inf,47.026242
1048596,12,8,4,8,2,3,120,SAE,0.1,0.1,128,1.0,283.89373779296875,8.02018940448761,130384.43286132812,283.89373779296875,-inf,130.322201
1048596,12,8,4,8,8,3,30,SAW,1e-05,0.1,16,1.0,1190.777603149414,102.98795104026794,1487070.84375,1190.777603149414,-inf,224.175185
1048596,12,8,4,128,8,3,120,SE,1e-05,0.1,128,1.0,954.2959899902344,46.79557457566261,1170247.4140625,954.2959899902344,-inf,168.626893
1048596,12,8,4,128,8,3,120,NAW,0.1,0.1,16,0.01,926.3382568359375,23.02700509026181,2533551.4008607864,926.3382568359375,-inf,1146.471691
1048596,12,8,4,128,2,3,30,FE,1e-05,0.5,128,1.0,974.6159057617188,25.897093303501606,2043341.880859375,974.6159057617188,-inf,47.417658
1048596,12,8,4,8,2,1,30,IND,0.1,0.5,128,0.01,1039.1158447265625,52.03401371836662,1370085.19140625,1039.1158447265625,-inf,37.09371
1048596,12,8,4,128,8,1,120,NAE,1e-05,0.5,128,1.0,900.1795349121094,80.22008687257767,874029.8046875,900.1795349121094,-inf,168.935821
1048596,12,8,4,128,2,1,120,NE,1e-05,0.5,16,1.0,644.526123046875,22.314317524433136,967725.1039123535,644.526123046875,-inf,1119.616374
1048596,12,8,4,8,8,1,30,SAE,0.1,0.5,16,0.01,336.40191650390625,9.53384405001998,180769.5793609619,336.40191650390625,-inf,214.023643
1048596,12,8,4,8,8,3,120,SAW,1e-05,0.1,16,0.01,1294.2884521484375,117.5707295536995,1753952.125,1294.2884521484375,-inf,867.450917
1048596,12,8,4,8,8,1,120,SE,0.1,0.1,16,0.01,954.1181945800781,51.29338335245848,1233486.970703125,954.1181945800781,-inf,860.23809
1048596,12,8,4,128,2,1,30,NAW,1e-05,0.1,128,1.0,803.0115966796875,21.718664094805717,1495880.779296875,803.0115966796875,-inf,46.950879
1048596,12,8,4,8,8,1,120,FE,1e-05,0.5,128,0.01,2140.2207641601562,76.22129367664456,7486889.728515625,2140.2207641601562,-inf,132.995346
1048596,12,8,4,8,2,3,120,IND,0.1,0.5,16,0.01,828.4996337890625,40.31307063996792,1128601.1845703125,828.4996337890625,-inf,841.901343
1048596,12,8,4,128,8,1,120,NAE,0.1,0.5,16,0.01,861.3411254882812,81.94162137806416,847788.6875,861.3411254882812,-inf,1149.565231
1048596,12,8,4,128,2,1,30,NE,0.1,0.1,16,0.01,756.1943054199219,28.930562734603882,1144484.9267578125,756.1943054199219,-inf,286.064158
1048596,12,8,4,8,2,3,120,SAE,1e-05,0.1,16,0.01,755.7708129882812,23.33316095173359,1513320.6670532227,755.7708129882812,-inf,847.737728
1048596,12,8,4,128,8,3,30,SAW,0.1,0.1,16,1.0,649.3486022949219,63.73196579515934,514735.240234375,649.3486022949219,-inf,300.597959
1048596,12,8,4,8,2,1,30,SE,1e-05,0.1,128,0.01,1859.4722900390625,106.22466579079628,4111091.875,1859.4722900390625,-inf,37.882784
1048596,12,8,4,8,2,3,30,NAW,0.1,0.1,16,0.01,1142.9364624023438,32.699986547231674,2553806.119140625,1142.9364624023438,-inf,220.143813
