trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
35,12,33,16,256,8,2,1375,3.369598884636108e-05,163.33975345793854,10.110791886546302,29201.033260740453,170.88309823016567,-0.23779008422216763,115.203832,2025-11-21T13:19:49
36,12,32,16,512,8,1,931,3.500664176540428e-05,224.12459106693643,13.527641171841914,62802.249556655974,250.60377003679727,-1.6620976413388608,49.375302,2025-11-21T13:21:46
37,12,32,16,512,4,1,1438,3.6641588167039246e-05,157.10798950443643,9.586365500970052,30276.31504951497,174.00090531234304,-0.2833697431337312,75.409729,2025-11-21T13:22:36
38,12,35,32,512,4,2,1303,5.836344343380605e-05,208.33545409245073,12.538393043287593,49595.587060566206,222.70066695132775,-1.102286084762654,63.14132,2025-11-21T13:23:52
39,16,34,16,1024,8,1,1243,5.912162157593986e-05,273.24841065137434,16.023892882285413,97020.35742575643,311.4809102108128,-0.5747339836279997,82.673536,2025-11-21T13:24:56
40,12,35,32,256,8,2,1184,5.663265705759239e-05,133.83177727974217,8.479938925792968,29820.095012016463,172.6849588470764,-0.2640312274861243,46.0203,2025-11-21T13:26:20
41,12,35,16,256,4,2,1317,4.245086788497829e-05,177.03147781204333,10.60121091300641,44815.434917957195,211.69656331163526,-0.8996622642162182,109.472853,2025-11-21T13:27:07
42,12,37,16,512,8,1,1391,3.377874452762802e-05,141.8837125559924,8.504794981474694,26076.871856855174,161.48334854360425,-0.10536134539264497,69.015841,2025-11-21T13:28:58
43,12,30,16,256,8,1,1350,7.4296281617431e-05,187.79251520428076,11.338325147611249,45490.830690951465,213.28579580213838,-0.9282913261837562,72.723925,2025-11-21T13:30:08
44,12,40,32,256,4,2,1300,5.964747011527925e-05,175.38897552656712,10.909679929397289,48699.16994465035,220.67888422921288,-1.064288243812983,52.740481,2025-11-21T13:31:21
45,12,34,16,256,8,2,1408,4.7240622866982494e-05,172.168875138117,10.184302183474374,41453.57018591198,203.6014984864109,-0.757157620881681,114.451386,2025-11-21T13:32:15
46,12,35,16,512,8,2,1366,4.361844709939706e-05,171.32393517994376,10.464165553710043,32870.9952374767,181.30359962636345,-0.39335452962088246,104.367028,2025-11-21T13:34:11
47,12,33,16,256,8,2,1287,6.082337347999784e-05,186.9914294342476,11.120153697396773,47546.915746554114,218.05255271735325,-1.015445834430695,107.064738,2025-11-21T13:35:56
48,12,34,32,256,8,2,1267,5.722855224182674e-05,283.4439749642589,16.98862383637208,108707.00210496319,329.7074492712641,-3.607934523739856,48.131725,2025-11-21T13:37:45
49,12,34,16,512,8,1,1373,3.89602755765965e-05,190.24718017826456,11.422681767058695,47687.80201862183,218.37536953287986,-1.021417802237838,68.963819,2025-11-21T13:38:34
