trial_index,LR,epochs,gradclip,attention_heads,hidden_size,num_layers,window_size,mae,mape,mse,rmse,r2,runtime_s,started_at
15,0.05809530298541853,33,0.2397463973061464,1,57,52,23,2900.4236450195312,43.250495026718525,21139903.12783976,4597.8150384546525,-0.1571564720508143,102.935931,2025-11-04T23:14:25
16,0.04382432763589972,29,0.2155411397434,1,63,56,22,2901.05859375,43.0824307626973,21192504.90818259,4603.5317863769105,-0.16003578943448504,95.083273,2025-11-04T23:16:09
17,0.05044762585763481,22,0.2642008391888438,1,59,64,23,2899.3412475585938,39.95659069558381,22168827.745279774,4708.378462409301,-0.21347776988851108,80.734908,2025-11-04T23:17:45
18,0.058584459389833685,33,0.2093506869102542,1,55,54,19,2896.2994995117188,41.14466749896061,21743232.7118562,4662.963940655793,-0.1901815397960369,93.378921,2025-11-04T23:19:07
19,0.05444471840769291,35,0.2727656315290396,1,68,51,21,2900.814208984375,41.31519617304255,21731964.846089214,4661.755554090027,-0.1895647591173546,106.608485,2025-11-04T23:20:41
21,0.052045692906682026,30,0.24054946402171593,1,10,64,22,2904.26025390625,45.40454460140941,20569912.386433452,4535.406529345903,-0.1259563065893774,64.234075,2025-11-04T23:22:31
22,0.019571793201797236,20,0.243964623172996,1,8,64,25,2870.1099243164062,37.98089304937597,22515680.956276283,4745.06912028437,-0.2324638284115348,39.344302,2025-11-04T23:23:36
23,0.050604746296397274,28,0.15548142226644193,1,8,64,26,2893.81982421875,32.81924710978986,24874025.545931727,4987.386644920537,-0.3615549452791402,55.430431,2025-11-04T23:24:17
24,0.036144424700334445,24,0.30316262544014877,1,8,64,21,2963.1506958007812,31.79339251433287,26575540.60708113,5155.147001500649,-0.4546925132894706,41.725577,2025-11-04T23:25:14
25,0.05322977875259161,20,0.2156005520236326,1,8,64,21,2898.4472045898438,41.763510902614975,21560707.98976408,4643.350944066588,-0.18019049763274397,35.841015,2025-11-04T23:25:57
26,0.0487550170865651,31,0.23122175478273305,1,40,52,20,2897.2876586914062,41.29491111161105,21703107.060946956,4658.659363051452,-0.1879851410536162,74.488094,2025-11-04T23:26:35
27,0.04825290817526895,20,0.30203117911083777,1,8,64,24,3241.86669921875,38.717489255800224,28773897.338531435,5364.130622806591,-0.5750262113339111,38.134021,2025-11-04T23:27:50
28,0.06140887231721218,53,0.2527346190640143,1,28,64,22,2896.4381713867188,44.23272513599448,20825932.315732494,4563.543833002209,-0.1399703309853657,145.133627,2025-11-04T23:28:30
29,0.03516747455484205,34,0.18470773374041652,1,97,57,19,2900.3743286132812,40.502155197570886,21992008.335132495,4689.563768105994,-0.20379902521315474,130.511994,2025-11-04T23:30:57
30,0.0517914708279085,84,0.23625353134267088,1,58,64,22,2902.1205444335938,44.52538160928225,20784391.445395276,4558.990178251679,-0.13769646593146057,294.288488,2025-11-04T23:33:09
31,0.022545696734729087,20,0.18431512607752099,1,114,64,24,2899.5349731445312,42.48743902371922,21356191.749431267,4621.275987152387,-0.1689956832710382,101.432375,2025-11-04T23:38:05
32,0.06960120207475606,38,0.37106187843156824,1,67,59,19,2891.6090698242188,37.421738456209106,22983624.864722267,4794.1239934655705,-0.25807815213574936,123.604469,2025-11-04T23:39:47
33,0.0702163730012436,50,0.3175766195109089,1,128,44,18,2897.6969604492188,41.69478266295295,21577333.64163883,4645.140863487224,-0.18110055292261884,184.056829,2025-11-04T23:41:52
34,0.03500994299137155,20,0.179138068949427,1,128,44,23,2898.855224609375,34.99153426077369,24013629.687542886,4900.370362283129,-0.31445857827880097,87.585349,2025-11-04T23:44:58
35,0.047968831316315755,79,0.23280264172881973,1,39,62,26,2896.2064208984375,42.33080368293075,21374359.619408697,4623.241246074955,-0.16999015652858462,261.4981,2025-11-04T23:46:27
36,0.023577110913537015,61,0.18325721200420472,1,11,64,22,2897.33154296875,44.91823528053882,20652010.448857635,4544.4483107256965,-0.1304501920959702,128.947321,2025-11-04T23:50:50
37,0.078623955567035,96,0.2758228935983909,1,113,45,21,3130.3400268554688,35.509811017801454,28028150.81480114,5294.161955852988,-0.5342055220797837,344.648146,2025-11-04T23:53:00
38,0.06076753632107325,24,0.33082545592588036,1,128,46,18,3172.4239501953125,36.69149163002553,28250081.25614682,5315.080550297128,-0.546353555351045,83.261835,2025-11-04T23:58:47
39,1e-05,20,0.01,1,81,64,28,3400.053955078125,69.81549594678818,18553382.07610908,4307.363703718213,-0.015575427094924654,92.306065,2025-11-05T00:00:12
40,0.03311673438491617,57,0.22679543512926936,1,71,50,20,2903.6533203125,37.85668856317027,22959871.078908592,4791.645967609522,-0.2567779168970268,174.861659,2025-11-05T00:01:45
41,1e-05,20,0.5160813957946986,1,84,64,30,2895.0753784179688,36.957500378958244,23188936.262074992,4815.489202778363,-0.2693164918195121,98.343345,2025-11-05T00:04:42
42,1e-05,20,0.01,1,66,46,29,2886.644287109375,35.9398683464191,23486590.69869557,4846.296596236715,-0.28560950677266717,69.697123,2025-11-05T00:06:22
43,1e-05,82,0.45125830300412845,1,104,64,24,3298.92919921875,40.38041523649716,29164105.548608333,5400.3801300101395,-0.5963854367289987,374.512201,2025-11-05T00:07:33
44,1e-05,20,0.01,1,107,64,28,2893.1836547851562,40.83610424123583,21813201.893771783,4670.460565487282,-0.19401151438050368,111.308877,2025-11-05T00:13:49
45,1e-05,20,0.01,1,66,64,28,3012.47998046875,50.518844671531305,20013925.165624052,4473.692564942751,-0.09552266613953653,83.457675,2025-11-05T00:15:42
46,0.05783305763173838,35,0.19842769290688844,1,15,64,21,2895.7093505859375,41.204978747793795,21716176.470214993,4660.061852616872,-0.18870053465920344,77.928685,2025-11-05T00:17:07
47,0.0029896963353395244,20,0.018647301326982977,1,82,64,27,2896.7296752929688,38.4377737500283,22656175.40797694,4759.8503556285195,-0.2401542167302282,89.223,2025-11-05T00:18:27
48,0.07412776453744499,82,0.1086713130514428,1,20,64,21,2898.9701538085938,43.95392865699824,20924259.144731507,4574.304225205349,-0.14535254706575085,198.635571,2025-11-05T00:19:58
49,0.07688339025661071,82,0.2176899114350877,1,39,64,33,2899.0363159179688,44.16467170156265,20865524.525136456,4567.8796530925,-0.14213753019519815,298.619066,2025-11-05T00:23:18
