trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
16,8,2,1,1,1,0,1,52,144.41937630423345,11.421768879771795,28169.668653407367,161.001396557779,-3.0439968348940396,3.037269651972762,2.471779,2026-01-10T00:50:06
17,8,0,2,0,0,0,2,52,677794379.06229,55518619.790113,1.4638687264833564e+18,796286824.9962162,-228288617977658.75,61857736.03234988,64.809237,2026-01-10T00:50:09
18,8,2,1,1,1,0,1,52,144.41937630423345,11.421768879771795,28169.668653407367,161.001396557779,-3.0439968348940396,3.037269651972762,2.467001,2026-01-10T00:51:14
19,8,2,1,1,1,0,1,52,144.41937630423345,11.421768879771795,28169.668653407367,161.001396557779,-3.0439968348940396,3.037269651972762,2.45377,2026-01-10T00:51:17
20,8,2,1,1,1,0,1,52,144.41937630423345,11.421768879771795,28169.668653407367,161.001396557779,-3.0439968348940396,3.037269651972762,2.466787,2026-01-10T00:51:20
21,8,2,1,1,1,0,1,52,144.41937630423345,11.421768879771795,28169.668653407367,161.001396557779,-3.0439968348940396,3.037269651972762,2.454646,2026-01-10T00:51:23
22,8,2,1,1,1,0,1,52,144.41937630423345,11.421768879771795,28169.668653407367,161.001396557779,-3.0439968348940396,3.037269651972762,2.469528,2026-01-10T00:51:26
23,8,4,2,4,2,0,2,52,128992.18008403073,11035.391079700856,52582919642.78658,160551.03560953352,-11188981.690642402,11924.16365575616,260.045784,2026-01-10T00:51:29
24,8,2,1,1,1,0,1,52,144.41937630423345,11.421768879771795,28169.668653407367,161.001396557779,-3.0439968348940396,3.037269651972762,2.472345,2026-01-10T00:55:50
25,8,2,1,1,1,0,1,52,144.41937630423345,11.421768879771795,28169.668653407367,161.001396557779,-3.0439968348940396,3.037269651972762,2.456466,2026-01-10T00:55:53
26,8,2,1,1,1,0,1,52,144.41937630423345,11.421768879771795,28169.668653407367,161.001396557779,-3.0439968348940396,3.037269651972762,2.455816,2026-01-10T00:55:56
