trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
15,24,4,0,4,0,0,2,52,6.1054218023193784e+16,3318598722689284.5,1.702054429803509e+34,7.532273737731374e+16,-1.1390501557800662e+29,4693207321701186.0,138.023252,2026-01-10T22:59:37
16,24,2,2,2,2,1,1,52,464.94556146420996,17.572580240640406,389500.68727633567,568.5015674870439,-0.9312568978691366,8.144649847915286,202.577949,2026-01-10T23:01:56
17,24,2,2,2,2,0,2,52,1667260.62561569,88739.55152520294,10804759632218.256,1898277.2249652192,-72307692.50084746,125468.59715035964,153.230033,2026-01-10T23:05:19
18,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,119.411624,2026-01-10T23:07:53
19,24,4,0,1,0,0,2,52,553.588400781509,20.386127546490677,562755.8487249855,682.7478828922964,-1.7896567625747235,10.445977596768214,103.605422,2026-01-10T23:09:53
20,24,2,2,2,2,0,1,52,493.0933151194797,17.800636608859385,428132.20667485084,605.1921407673053,-1.1673512432984305,7.711253762950693,166.115861,2026-01-10T23:11:37
21,24,4,0,1,0,0,1,52,659.8572645097615,26.7121455776182,673731.5457307844,778.5620103859361,-2.591800965228225,12.920754719543,4.652269,2026-01-10T23:14:24
22,24,0,2,4,2,0,2,52,4028759028156.692,185402938598.36002,5.812432689071095e+25,4401678729234.497,-3.889800610378771e+20,262199350236.0185,149.375105,2026-01-10T23:14:29
23,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,120.658394,2026-01-10T23:16:59
24,24,2,2,1,2,1,2,52,668.4734356082532,27.786515738011456,706453.6729803417,784.8846809997381,-2.8079468578217734,14.490020510515548,136.831213,2026-01-10T23:19:01
25,24,0,0,4,0,1,2,52,1212.519090415624,40.75072441146801,2020850.9547686968,1307.8603082609602,-11.707906881410642,13.358908066739174,62.09727,2026-01-10T23:21:18
26,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,120.475749,2026-01-10T23:22:21
27,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,297.978924,2026-01-10T23:24:22
28,24,4,2,0,0,1,2,52,1405.9318235856033,62.44101373066069,3288493.6076800474,1593.4339760876358,-19.434447962546418,48.952641679427586,65.261485,2026-01-10T23:29:20
29,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,120.474569,2026-01-10T23:30:26
30,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,306.449739,2026-01-10T23:32:27
31,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,308.030394,2026-01-10T23:37:35
32,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,123.600251,2026-01-10T23:42:43
33,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,306.264741,2026-01-10T23:44:48
34,24,0,2,0,2,0,2,52,377626.09232587373,20151.98855555859,572223832213.7943,438854.0984769065,-3829438.236359902,28389.95704551925,44.478539,2026-01-10T23:49:54
35,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,123.881925,2026-01-10T23:50:39
36,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,302.973457,2026-01-10T23:52:44
37,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,302.226373,2026-01-10T23:57:48
38,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,302.426169,2026-01-11T00:02:50
39,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,302.396677,2026-01-11T00:07:53
