trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
118,43,64,128,4,1,600,0.000522363581098102,534.2833273483074,13.190560731474488,473257.44191603083,687.9370915396486,0.35127948362048367,4.604764,2025-11-12T00:16:25
119,43,64,128,4,1,600,0.0005240476951633327,534.0730644882814,13.368701811236662,459072.92290035385,677.5492033058218,0.3707229993171215,4.577194,2025-11-12T00:16:31
120,43,64,128,4,1,600,0.0005222949072621587,520.9103685833334,12.791346399512168,464436.7361852571,681.4959546360177,0.3633705196395529,5.177126,2025-11-12T00:16:38
121,43,64,128,4,1,600,0.0005265020886192918,530.7802076360678,13.150567699217191,462019.16158454126,679.7199140708923,0.36668442472472773,4.480816,2025-11-12T00:16:44
122,43,64,128,4,1,600,0.0005260864591358448,529.679662388672,13.324726232671713,454440.465456573,674.1219959744475,0.37707296852810523,4.631514,2025-11-12T00:16:50
123,43,64,128,4,1,600,0.0005258626032111209,537.970335624349,13.270766531486277,473484.46816750104,688.1020768516115,0.3509682860057368,4.437492,2025-11-12T00:16:56
124,43,64,64,8,30,600,0.001,778.1878447760417,20.90042183129601,732700.0891137802,855.9790237580476,-0.0043531026936154404,87.401783,2025-11-12T00:17:02
125,43,64,128,4,1,600,0.000526247536264377,527.4456062135417,13.128682229521422,455137.70528605016,674.6389443888116,0.37611722279194193,4.885569,2025-11-12T00:18:30
126,43,64,128,4,1,600,0.0005271461179030943,529.3738085247396,13.22234073475823,455161.4647328155,674.6565531682143,0.3760846543858073,4.333256,2025-11-12T00:18:37
127,43,64,128,4,1,600,0.0005281195535753422,533.034056327474,13.326246827882557,454283.84124569315,674.0058169227423,0.3772876621175988,5.003782,2025-11-12T00:18:42
128,43,64,128,4,1,600,0.0005269023672869143,536.4720242636719,13.376294541832017,459420.0006975921,677.8052822880566,0.3702472403159811,4.670118,2025-11-12T00:18:48
129,43,64,128,4,1,600,0.0005247852339676232,530.255481701823,13.28481695511113,456739.0180443812,675.8246947577317,0.37392221359089484,5.050138,2025-11-12T00:18:54
