trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at,effective_epochs
27,12,34,32,512,4,3,2000,0.0004070656637183685,88.363103011282,7.099500846069221,13507.518020442296,116.22184829214468,-0.6082234926313519,101.977783,2025-11-23T20:38:52,1261
28,16,34,32,512,4,2,2000,0.00034086126171908626,117.34705104884148,10.550761993928615,20266.481599056107,142.36039336506522,-0.12349745497953424,47.19816,2025-11-23T20:40:35,841
29,16,35,64,512,4,4,2000,0.00022900738121426294,102.082341160879,8.698640056726266,13867.208017468181,117.75911012515415,0.23125418493840066,139.608344,2025-11-23T20:41:23,1639
30,12,36,64,512,4,3,2000,0.0003430481772006518,87.55579195003664,7.114699046303426,14220.6068329301,119.25018588216163,-0.6931248178666689,94.391338,2025-11-23T20:43:44,1403
31,12,35,32,512,8,4,2000,0.000341657995563845,275.72144133326555,22.03278598586612,84038.24084208297,289.8934991373263,-9.00570741398307,60.064912,2025-11-23T20:45:19,561
32,12,33,64,512,4,1,2000,0.00024531462480884426,118.32547421687222,9.676704119646235,24202.607632551033,155.57187288372867,-1.8815954284644305,25.773124,2025-11-23T20:46:20,1111
33,16,32,64,1024,4,2,2000,0.00011847337236217185,119.08327890382859,9.734200071634213,18700.66435919427,136.7503724279911,-0.03669444107949027,118.890346,2025-11-23T20:46:46,1344
34,12,36,64,1024,8,1,2000,0.00026814496432638535,103.23920032186068,8.157835444739678,13940.847305075864,118.07136530537734,-0.6598162674503947,66.956712,2025-11-23T20:48:46,1349
35,12,37,32,512,4,1,2000,0.00019493344806612828,74.29422142645251,6.038126273648217,9800.251896207998,98.99622162591862,-0.16683133861705324,13.447235,2025-11-23T20:49:53,406
36,12,36,32,512,4,1,2000,0.00024540128087128594,137.22040195865745,10.451194779018163,22497.10203084165,149.99033979174007,-1.6785356086416923,11.111677,2025-11-23T20:50:08,340
37,16,35,64,512,4,1,2000,0.00011455123418915272,98.35076244150346,8.07255441436443,12308.276625655948,110.94267269926368,0.31767547334153023,26.98103,2025-11-23T20:50:19,1149
38,12,38,64,512,4,1,2000,0.00010877304800789914,117.82473394208746,9.075140203827734,17061.221049625,130.6186091245233,-1.0313322153972595,20.674499,2025-11-23T20:50:47,828
39,12,37,64,512,8,1,2000,0.00024827663176355,118.10048376091068,9.62190212296488,22462.884012747974,149.87622897827384,-1.674461564802828,25.994527,2025-11-23T20:51:09,1063
40,16,34,32,512,4,2,2000,0.00012268902064383293,141.47084299332735,11.399148316622806,27837.29018212879,166.84510835541084,-0.5431945856159401,62.852085,2025-11-23T20:51:36,1128
