trial_index,test_size,window_size,hidden_size,num_layers,batch_size,lr,epochs,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
26,12,39,512,2,32,1.4436426928756062e-05,2000,153.06122906878656,12.62422715322702,30431.51527331468,169.63209693153237,-8.094313592765173,4.356796962318087,28.747017,2026-01-02T09:45:58,186.33333333333334
27,12,37,1024,1,32,1.3525797604778712e-05,2000,159.85331668419616,13.11275710961103,32968.48403320292,175.21218365449226,-9.924599385369264,4.9372506288533575,20.304457,2026-01-02T09:46:27,171.66666666666666
28,12,32,512,1,32,1e-05,2000,144.8694130112361,11.793052345686133,30099.49175259522,171.5317956031764,-7.689154023785538,3.7377077266294565,18.400153,2026-01-02T09:46:49,236.33333333333334
29,12,30,512,2,32,1e-05,2000,154.25883274540982,12.733916231455675,31102.079845847067,171.28235032307975,-8.646698793637782,4.558808741570955,28.832877,2026-01-02T09:47:08,220.66666666666666
30,12,26,1024,1,64,1e-05,2000,164.25232624430217,13.486278659321494,34226.84671583684,178.92307023025077,-9.93648795907578,4.828573150900241,16.007848,2026-01-02T09:47:37,252.66666666666666
31,12,27,512,1,32,1.5338251062036335e-05,2000,157.50084861460584,12.905711896839819,33892.78129832159,181.2531071016339,-9.063292810905232,4.284704220209301,15.031343,2026-01-02T09:47:54,193.0
32,12,42,1024,4,64,9.827807263040092e-05,2000,191.76807378209205,15.890910794170262,46324.26706274738,207.34839679621646,-15.478867234419853,6.105112217039144,39.190713,2026-01-02T09:48:10,116.66666666666667
33,12,36,1024,4,32,0.00012810718234343565,2000,211.8928918305792,16.54425129582003,60648.78871469071,244.23810396804728,-17.285374903311638,5.435254627411782,51.70708,2026-01-02T09:48:50,113.0
34,12,36,512,1,64,2.0151812958641988e-05,2000,156.41800794172607,12.802624864351904,34431.68787424564,182.94663408523343,-9.628876693142267,4.324550627527313,11.116063,2026-01-02T09:49:42,221.66666666666666
35,12,37,512,2,64,1e-05,2000,152.49987226687847,12.57108252375563,30311.47671278729,169.7701616394981,-8.273862959384791,4.267192710092462,26.560949,2026-01-02T09:49:54,300.3333333333333
36,12,52,512,1,32,1e-05,2000,153.32769788058692,12.48762094029892,32427.729325343196,179.3053228389912,-7.7417039959480825,3.0613241454571147,23.91149,2026-01-02T09:50:22,239.0
37,12,38,512,1,32,1e-05,2000,146.49672874155897,11.934461262340557,30797.9416952952,173.45648334708167,-7.999699792078105,3.811427974423957,20.173037,2026-01-02T09:50:46,232.0
38,12,26,1024,1,32,1e-05,2000,160.80181897433692,13.202415364549443,33049.868650916156,175.80665790065586,-9.57188408627819,4.771804545123387,18.08202,2026-01-02T09:51:07,185.0
39,12,41,512,1,32,2.3388456183609527e-05,2000,153.9558860495017,12.60066926175879,33190.01112167718,179.822107982327,-9.000724051760724,4.117148254991166,13.997989,2026-01-02T09:51:26,163.66666666666666
40,12,32,1024,2,32,2.5639140983092665e-05,2000,162.18678230075182,13.361311479523762,34230.79484056144,178.64252240662654,-9.939842446780025,5.125918257878697,31.527433,2026-01-02T09:51:41,135.66666666666666
41,12,27,1024,1,32,4.144485795547102e-05,2000,180.36588893418934,14.902748296279775,41469.12851278569,194.4246220979178,-13.291408280734636,6.094684627509162,13.992199,2026-01-02T09:52:13,139.33333333333334
42,12,52,1024,3,32,1e-05,2000,171.23977964451754,14.16769495800022,37021.442216963005,188.54441983033814,-9.800116615693199,4.46032787040059,79.519721,2026-01-02T09:52:28,183.0
43,12,39,512,2,32,1e-05,2000,152.16382912605903,12.550739325827742,30203.14659706966,169.01770942304566,-8.02536212286266,4.355722068415251,33.373333,2026-01-02T09:53:49,215.33333333333334
44,12,39,512,1,32,1e-05,2000,147.41485686113364,12.01422122901551,31084.909132908262,174.11292139671662,-8.208495958889742,3.902232189244408,20.157129,2026-01-02T09:54:23,231.66666666666666
45,12,26,32,4,128,0.001,2000,357.4583289512384,29.543195925242816,141575.19844249115,371.6867466895501,-42.9087549200846,6.630287872197285,2.900209,2026-01-02T09:54:44,116.66666666666667
46,12,44,1024,1,32,1e-05,2000,161.66394733805217,13.271588976330255,33325.5845732487,177.20180327110097,-9.834620255893578,4.649175526515156,23.993261,2026-01-02T09:54:48,185.0
47,12,39,1024,4,64,0.00016745934766459474,2000,148.23601769481456,11.882146905379559,33023.80285781429,174.52143469763448,-11.344360167108313,5.931844013925504,37.235902,2026-01-02T09:55:13,110.33333333333333
48,12,26,32,1,32,1e-05,2000,309.7992143919409,25.8333801598567,134968.01535306955,357.0569669141311,-44.467277723649175,9.546998826718882,16.313664,2026-01-02T09:55:51,398.6666666666667
49,12,40,256,1,32,1e-05,2000,167.3666207293951,13.76357921505246,36458.436625339935,185.8847555965624,-10.429157367080721,4.746777725162643,27.053383,2026-01-02T09:56:08,329.3333333333333
50,12,36,512,1,32,1e-05,2000,146.25489049828641,11.914258594407675,30445.462859590927,172.52987825355265,-7.781412228312289,3.7377586271567624,20.025857,2026-01-02T09:56:36,236.33333333333334
51,12,52,512,1,64,1e-05,2000,155.15597864454693,12.608380047190936,33514.684046749724,182.82857580626487,-7.779873172879648,2.583472291803748,18.645535,2026-01-02T09:56:57,323.6666666666667
52,12,39,1024,4,64,0.00017325531382159038,2000,176.932166502363,14.353443844679461,43362.51144115172,194.58059521456028,-17.39435371780069,7.715968106423788,45.21283,2026-01-02T09:57:16,133.33333333333334
53,12,51,512,2,32,1e-05,2000,154.3860237540678,12.703953194950705,30559.225635498482,171.48053280080924,-7.94125623146601,3.9060747114700156,38.197007,2026-01-02T09:58:02,215.0
54,12,39,512,1,32,1e-05,2000,147.41485686113364,12.01422122901551,31084.909132908262,174.11292139671662,-8.208495958889742,3.902232189244408,20.445667,2026-01-02T09:58:41,231.66666666666666
55,12,52,1024,1,64,1e-05,2000,170.59118325927614,13.943917615522418,35510.1570961522,185.94238406154273,-9.892500645826571,3.677196951899955,21.203315,2026-01-02T09:59:02,235.0
56,12,52,512,1,32,1.949217497828905e-05,2000,158.82529694966846,12.963413516808066,34480.63968466912,184.62411441045924,-8.762704068991523,3.410448651012376,17.65173,2026-01-02T09:59:24,174.66666666666666
57,12,26,1024,3,32,1e-05,2000,183.18884128125458,15.174373597779125,41524.80288066292,198.0271918582877,-11.980500663081111,5.150925948349279,53.258344,2026-01-02T09:59:43,178.66666666666666
58,12,52,1024,2,32,2.9119816867970815e-05,2000,157.48707522911806,12.923292101522785,32140.367756724605,175.49413438776662,-9.182847251586358,4.338575232613845,39.937625,2026-01-02T10:00:37,126.33333333333333
59,12,43,512,2,32,1.560400321368463e-05,2000,154.00780005550692,12.700705534091147,30796.83256778929,170.54011617308,-8.45703912772911,4.460943988000186,28.867328,2026-01-02T10:01:18,181.33333333333334
60,12,52,256,1,128,1e-05,2000,172.40770078039336,14.131989046511487,37753.54778954698,189.9159351214457,-10.96692668219515,4.518033032046459,17.137131,2026-01-02T10:01:48,573.0
61,12,36,1024,2,128,1e-05,2000,164.82726488538722,13.61229236673609,34880.207396471356,182.19522244521582,-9.511746534791799,4.536928075875688,43.72858,2026-01-02T10:02:06,337.0
62,12,40,512,1,32,1.1406881258760804e-05,2000,148.56564760549125,12.11933848497324,31486.71351370128,175.18167585329738,-8.402595150752765,3.9456162311334353,19.091313,2026-01-02T10:02:51,218.0
63,12,38,512,1,32,1.121224434795086e-05,2000,146.73058833357285,11.956497180149272,30871.15213381532,173.67832779757973,-8.0238450956321,3.807520762858171,18.283463,2026-01-02T10:03:11,219.33333333333334
64,12,39,512,1,32,1.3493771472841181e-05,2000,149.8461821378263,12.229373354570882,31921.48582379837,176.3120274173416,-8.60671734275345,4.0317968637287525,17.400641,2026-01-02T10:03:30,200.0
65,12,33,512,1,128,1e-05,2000,158.443691661862,12.977829427845899,36664.800266293685,190.97763638863808,-9.114381875504165,3.4278342773283206,12.216718,2026-01-02T10:03:48,382.3333333333333
66,12,40,512,1,32,1.0848054547985048e-05,2000,148.0258662469843,12.072238474390849,31286.21136838288,174.68461224334067,-8.273684939376642,3.8943584307069528,19.871506,2026-01-02T10:04:02,224.0
67,12,26,1024,1,128,1e-05,2000,166.5858460739463,13.67717387609259,34957.34415091861,181.11945434850563,-10.110285367345266,4.774147378147721,17.755136,2026-01-02T10:04:22,343.0
68,12,38,512,1,32,1.1433778200698331e-05,2000,146.78248856143745,11.961477078730132,30886.651093206572,173.70846990853283,-8.039236106896153,3.8145117382911877,19.075323,2026-01-02T10:04:41,216.66666666666666
69,12,52,1024,2,32,6.856965147609112e-05,2000,188.24719635218275,15.488999136160897,43641.42048745512,201.44918969349035,-13.60611432210609,5.760323288929566,40.241183,2026-01-02T10:05:01,127.66666666666667
70,12,46,1024,1,128,1e-05,2000,167.081875397948,13.730653244269277,35025.238656803944,182.87007793193416,-10.169617414930213,4.3906786290581765,24.170222,2026-01-02T10:05:42,347.6666666666667
71,12,52,1024,3,64,1e-05,2000,174.00901980682136,14.376658021476905,37847.503455266815,191.8812075374543,-9.880836168022746,4.010899565946889,68.028623,2026-01-02T10:06:07,235.0
72,12,26,512,2,128,1e-05,2000,159.50387632657987,13.16562233903158,32924.581277608675,176.34381641145782,-9.262923748231362,4.676683926430378,23.005599,2026-01-02T10:07:16,430.6666666666667
73,12,41,512,2,128,1e-05,2000,163.45487413410683,13.391292262753959,32403.781586037734,178.2013294940291,-8.100982386678679,3.062738411205568,19.62899,2026-01-02T10:07:40,359.3333333333333
74,12,40,512,1,32,1.3326561107058788e-05,2000,148.80911006208848,12.14481081378876,31511.92928152146,175.34239882519148,-8.34730769697365,3.8968493643735167,18.089497,2026-01-02T10:08:01,203.0
75,12,33,1024,4,64,0.00013307738496872058,2000,187.0444138428559,15.541914283139258,44100.69177417373,204.509120391122,-12.577475958441385,5.188000332631203,33.513297,2026-01-02T10:08:20,111.66666666666667
76,12,38,512,1,64,1e-05,2000,151.27411318166313,12.354727003302761,32650.382249784685,178.52596947567721,-8.807978118330523,4.0092397252905,17.167392,2026-01-02T10:08:54,330.6666666666667
77,12,48,1024,4,64,0.0001601785594430861,2000,163.71968871903275,13.493006762941198,35535.930941359904,181.9603424120538,-3.6615179965886497,3.7901764658761485,83.625307,2026-01-02T10:09:13,223.0
78,12,37,512,1,32,1e-05,2000,145.88727575219264,11.883943633035317,30351.80988114557,172.32502404790122,-7.709795694045109,3.6869994301529685,20.196083,2026-01-02T10:10:37,236.66666666666666
79,12,29,256,1,128,1e-05,2000,190.92573666906526,15.658428173524504,44242.764506712185,204.72185420265296,-14.211863788541246,4.959518902054622,14.500893,2026-01-02T10:10:58,574.3333333333334
80,12,35,512,1,128,1e-05,2000,160.62699040860682,13.159205658746297,37506.719644357676,193.1364879611126,-9.399008793786178,3.4437326439247937,12.875696,2026-01-02T10:11:14,383.0
81,12,42,256,3,64,1e-05,2000,277.13504847301783,23.158681860617786,100134.84825731121,287.40294227668113,-32.3482831408815,11.796067823692814,19.557586,2026-01-02T10:11:28,192.33333333333334
82,12,40,512,1,32,1e-05,2000,147.46657059268742,12.022648352696038,31102.41945043278,174.21219370374516,-8.173243470440829,3.857838661931382,21.418045,2026-01-02T10:11:48,234.0
83,12,52,512,2,128,1e-05,2000,159.81349353013758,13.055774492757179,31761.354084131617,176.95254049261726,-7.641805566896956,2.9614976536613304,23.970412,2026-01-02T10:12:10,364.0
84,12,40,512,1,32,1e-05,2000,147.46657059268742,12.022648352696038,31102.41945043278,174.21219370374516,-8.173243470440829,3.857838661931382,20.539375,2026-01-02T10:12:35,234.0
85,12,36,512,1,32,1e-05,2000,146.25489049828641,11.914258594407675,30445.462859590927,172.52987825355265,-7.781412228312289,3.7377586271567624,19.843375,2026-01-02T10:12:57,236.33333333333334
86,12,39,512,1,64,1e-05,2000,153.04193205644611,12.507552551117788,33267.546995704404,179.9306596611104,-9.195757587031078,4.17463048531857,16.797537,2026-01-02T10:13:17,325.6666666666667
87,12,26,512,1,128,2.864956830039675e-05,2000,170.32121197340328,14.001559589689464,39234.52866637733,194.3901068312157,-11.412864923478628,4.919105972358911,7.787516,2026-01-02T10:13:35,248.0
88,12,47,1024,4,64,0.00016426247207144607,2000,143.36005478538448,11.617872225651785,29111.837878819846,170.26509367098546,-6.950992690177471,2.7169620020449963,62.763659,2026-01-02T10:13:44,162.66666666666666
89,12,49,1024,4,64,0.00017747282904706933,2000,126.05083299021157,10.075775857342359,23439.947425100447,152.40141194908588,-5.051012297089466,2.3152992473931695,41.145585,2026-01-02T10:14:47,109.0
90,12,52,1024,4,64,0.00020133537454810572,2000,144.9227328300385,11.437318347776278,28999.738265385648,169.5174806388129,-7.338984886692038,3.3319542867136995,53.765952,2026-01-02T10:15:29,140.33333333333334
91,12,41,512,1,32,1e-05,2000,145.2385805481996,11.833145135220581,29960.043110313436,171.31696909669645,-7.496479408357121,3.5935832200571225,21.095413,2026-01-02T10:16:24,242.33333333333334
92,12,39,256,1,32,6.11342097585455e-05,2000,200.70059154102705,16.578479194330843,50315.90527686349,215.71310736547335,-16.92907420013514,6.303665557879501,11.712222,2026-01-02T10:16:46,146.33333333333334
93,12,52,1024,4,64,0.00019409203264080777,2000,117.10295633097093,9.289581914568688,22495.629970799182,149.37556774893287,-3.8181119089377513,1.5340059978235638,42.217827,2026-01-02T10:16:59,109.33333333333333
94,12,52,1024,4,64,0.00021769763604507366,2000,164.82881180836216,13.564041707597502,33761.24887502411,183.02426046866026,-7.326984461556933,2.4854137892089874,56.89334,2026-01-02T10:17:42,148.66666666666666
95,12,52,1024,4,64,0.00017406030882248532,2000,164.78838715001405,13.548224991073946,35377.31217476093,182.274826791254,-4.0846785869010995,3.8822694769996375,68.388135,2026-01-02T10:18:39,179.0
96,12,52,256,1,128,4.151588818341067e-05,2000,189.18652894177373,15.597654341039146,45883.68956711135,209.7082540569792,-14.030752601607029,5.239386182738676,9.32443,2026-01-02T10:19:48,276.6666666666667
97,12,35,1024,2,32,1e-05,2000,154.3111346095434,12.707367684244355,31091.468993397637,171.57164598105962,-8.330114461799676,4.4223721768090165,45.678552,2026-01-02T10:19:59,185.0
98,12,52,1024,4,64,0.00019437156646238913,2000,117.28703210525391,9.306268992162353,22480.002398544977,149.3326234415736,-3.898106320462214,1.6198519947569912,42.445255,2026-01-02T10:20:45,109.33333333333333
99,12,26,1024,2,128,1e-05,2000,171.30946579055558,14.171607415954012,37760.96417612794,188.5873083768031,-11.067160489858445,5.167372044669899,34.397843,2026-01-02T10:21:28,321.6666666666667
