trial_index,test_size,window_size,hidden_size,num_layers,batch_size,lr,epochs,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
33,12,52,256,1,64,1e-05,2000,106.22667267320337,9.245992599833485,19407.456914412644,137.109555020646,-0.5982408960036061,1.789270224548486,17.178417,2025-12-13T19:54:04,283.3333333333333
34,12,26,32,1,32,1e-05,2000,200.01443093916384,17.311398478571395,69545.37829818035,263.4143356919382,-6.032352208117987,1.4095038906262416,14.369318,2025-12-13T19:54:22,349.6666666666667
35,12,35,1024,4,32,8.973176524227037e-05,2000,111.7129390600661,9.463850584018447,19910.33777419126,135.3653339321401,-0.40667673634636375,3.0671442407432674,51.514694,2025-12-13T19:54:37,106.33333333333333
36,12,52,256,2,64,1e-05,2000,119.7815778144953,10.39098023461924,22975.24890237743,147.8226756540108,-0.8075042332726937,2.609931470912204,24.926165,2025-12-13T19:55:29,254.33333333333334
37,12,52,256,1,128,1e-05,2000,118.20095588011436,10.359794908846558,23933.116924296064,151.92484801338307,-0.9812087977332004,2.073791037682941,7.590546,2025-12-13T19:55:54,203.33333333333334
38,12,34,1024,3,32,7.42131643933844e-05,2000,100.80259495606073,8.774826796964605,17835.451241839884,129.1564239609652,-0.3312362142014154,2.994111212851637,39.791351,2025-12-13T19:56:02,107.66666666666667
39,12,34,1024,3,32,7.225959475284956e-05,2000,103.91199455568521,9.043515890117176,17526.26878588184,126.65641093144781,-0.24307381846175483,2.8280727109061035,40.141661,2025-12-13T19:56:42,108.66666666666667
40,12,52,512,1,128,1e-05,2000,128.63968388575609,11.065041386418956,26114.298924121253,159.56947430127505,-1.2303410052520973,1.7379953092001084,12.184254,2025-12-13T19:57:23,264.0
41,12,47,256,2,128,1e-05,2000,134.59834388999874,11.546839633559857,26058.56925257122,158.96696224233693,-1.2022655316293642,2.3741524138053145,11.922426,2025-12-13T19:57:36,184.33333333333334
42,12,34,1024,3,32,7.012869998441111e-05,2000,106.18822721493858,9.264716994405083,20315.30457928451,134.6745733776224,-0.4047826106933292,3.8315423849307493,39.763693,2025-12-13T19:57:48,107.66666666666667
43,12,34,1024,3,32,6.510351134965601e-05,2000,97.27295134910425,8.524995520099454,16280.213770645374,121.7983996392265,-0.1246708376858392,2.9640429205563477,40.34036,2025-12-13T19:58:29,109.0
44,12,34,1024,3,32,6.913624700753206e-05,2000,97.35522982580066,8.49091950636272,16598.13663113693,123.14742266220946,-0.16386576979789033,3.0596718458454886,40.54816,2025-12-13T19:59:10,109.66666666666667
45,12,34,1024,3,32,6.242364480502128e-05,2000,115.76915308196645,9.798288210170162,18249.79616512028,133.1207971127784,-0.5175028537973991,1.558890102370849,40.966059,2025-12-13T19:59:51,110.33333333333333
46,12,52,32,4,32,0.001,2000,106.99308337381503,9.052546433363862,21461.700326131016,135.25997272036605,-0.340035952791486,4.171027612693075,20.958366,2025-12-13T20:00:32,355.6666666666667
47,12,26,1024,1,128,0.0004086390477425987,2000,166.1141295454813,14.623378253056615,38616.636276584715,192.48188344485638,-3.9981459354012827,3.7733367657236228,6.082021,2025-12-13T20:00:54,109.66666666666667
48,12,52,32,1,32,1e-05,2000,194.88661090260248,16.740498381863244,72290.00717454411,268.4178036635217,-6.2305229134073725,0.7981377584886763,12.288332,2025-12-13T20:01:00,304.3333333333333
49,12,26,32,4,128,1e-05,2000,241.7933245843477,20.710492618322988,82698.13277534285,281.54487040951983,-6.202996245465534,4.429439437122299,15.267659,2025-12-13T20:01:13,621.3333333333334
