trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
362,8,24,64,512,4,7,1195,0.002791122172165446,832.2796245226746,54.528788287209,706348.6444743174,840.4455035719552,-50.71199426926374,14.91203,2025-11-21T04:29:35
363,12,24,64,512,8,8,815,0.003562127220075612,880.0706025684257,55.215320308535986,798115.5299957624,893.3731191365466,-32.83097715314969,10.906294,2025-11-21T04:29:57
364,12,24,64,1024,4,6,1339,0.003637673521824224,1019.5458019499359,63.822454572862455,1063064.8867974887,1031.0503803391416,-44.06180188944883,22.156854,2025-11-21T04:30:13
365,8,24,64,512,4,7,1295,0.0026570342481680416,832.2731547961121,54.5283765011369,706338.2498165367,840.4393195326696,-50.71123327327713,15.292,2025-11-21T04:30:40
366,8,24,64,512,4,7,1214,0.002985971757185643,839.5661235461121,55.00134394524565,718530.811757039,847.6619678604432,-51.60385435795995,15.246084,2025-11-21T04:31:00
367,4,24,32,1024,8,10,2000,0.0005757461028247726,834.6393522956201,56.92848687695731,701472.2402568334,837.5393962416534,-143.65158952535393,66.706231,2025-11-21T04:31:23
368,8,24,32,1024,4,4,1307,0.0014942132433131464,891.2327495226746,58.35206429179263,807955.0960019851,898.8632243016649,-58.150632794618794,16.312578,2025-11-21T04:32:37
369,12,24,32,1024,8,9,447,0.006702084822819436,812.4202119434257,51.04055645588854,683617.8652648112,826.8118681204396,-27.977584713057254,11.199293,2025-11-21T04:33:00
370,8,24,64,512,8,8,745,0.0034695313779028285,872.2361980090027,57.12008452458566,774455.265801607,880.0314004634192,-55.698100265682584,10.828331,2025-11-21T04:33:18
371,12,24,32,1024,8,9,436,0.006271830965576099,941.2839611296235,58.992849466091634,909606.7648245231,953.7330679097391,-37.55693132458184,10.978436,2025-11-21T04:33:34
372,12,24,32,1024,8,9,311,0.006766205238247757,845.3625947559257,53.07345926273318,738229.181103082,859.2026426304111,-30.29248037539049,7.941268,2025-11-21T04:33:50
373,8,24,64,512,4,7,1095,0.0028781418891033633,861.2051005968933,56.40468763171537,755333.5416963205,869.0992703347073,-54.29819315877941,13.227646,2025-11-21T04:34:04
374,12,24,32,1024,4,5,1920,0.004844011178112273,740.2405244434257,46.58628579334738,571547.2985188885,756.0074725284721,-23.22707348927242,26.51707,2025-11-21T04:34:21
375,12,24,64,512,4,7,1073,0.0027862940392765143,901.8730521126964,56.56076851070443,836966.2779934966,914.8586109303976,-34.477804859786474,13.513702,2025-11-21T04:34:55
376,8,24,64,512,16,8,1972,0.00044886782979606117,838.1822734484558,54.91159138453534,716208.7921403332,846.291198193821,-51.433858611452116,27.626277,2025-11-21T04:35:14
377,12,24,32,512,4,7,1211,0.0019849451587314044,899.8401338184257,56.435315103596096,833303.5309209729,912.8546055758129,-34.322546243870335,15.777407,2025-11-21T04:35:46
378,8,24,32,1024,16,3,2000,0.002289701647714573,849.6574626574402,55.65579494018925,735577.307961631,857.6580367265447,-52.85183341325909,18.650165,2025-11-21T04:36:08
379,12,24,32,1024,8,9,362,0.00691165005353572,773.8660127246757,48.66134362682433,622459.8701409984,788.9612602282816,-25.385184668195155,9.150887,2025-11-21T04:36:35
380,8,24,64,512,16,8,1617,0.00181812033523564,855.4424052843933,56.03096010138625,745440.9987624418,863.3892510116407,-53.57395714939923,23.136722,2025-11-21T04:36:50
