trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
35,8,64,256,8,2,969,0.0006170735613736326,432.9374106659663,23.09193800204936,225907.89729970647,475.2976933456615,-0.7528367865548473,21.719239,2025-11-19T17:21:34
36,8,64,256,16,3,935,0.00020572084935251665,495.0169089569819,26.96853107924278,283868.3734992932,532.792993102662,-1.2025565885770328,28.927385,2025-11-19T17:21:57
37,8,64,256,16,5,955,0.0030585784844538565,1897.5369860834728,101.21083331085379,3979460.6652649227,1994.8585577090228,-29.876942010886683,45.28726,2025-11-19T17:22:27
38,12,64,256,8,1,962,0.0002623477226239787,444.5120856469776,23.310627074182115,261023.01951955425,510.9041196932691,-1.0252977262875578,14.661763,2025-11-19T17:23:13
39,12,64,512,4,1,685,0.01,409.9004765367368,24.104828228391543,232534.0727246965,482.21786852489873,-0.8042497923767706,10.348085,2025-11-19T17:23:29
40,24,64,256,16,1,1000,0.00017101549541797986,309.0970689973068,16.506333976401123,155070.91757046443,393.79044880553465,-0.2032072012149071,12.862882,2025-11-19T17:23:40
41,12,64,256,32,1,940,0.00012557181822335023,408.57852394721635,21.405884621504253,229387.54953124895,478.9442029414793,-0.7798356764067305,14.164316,2025-11-19T17:23:55
42,8,64,256,4,4,646,0.01,359.17735175659055,20.86525701500771,181377.8542765591,425.8847899098524,-0.4073247506728501,25.361723,2025-11-19T17:24:10
43,24,64,256,16,3,934,0.00025124768508682556,439.7301657929194,23.702419793319017,238586.08555421626,488.45274649060605,-0.8512078263679881,27.133597,2025-11-19T17:24:37
44,24,64,256,16,1,1000,8.592116494932394e-05,531.3098014130366,28.632196285240045,377328.95468685083,614.2710758995989,-1.927724441301586,13.167445,2025-11-19T17:25:05
45,8,64,512,4,3,712,0.01,776.6988096302575,38.126479529861996,732143.0588732734,855.6535857888246,-4.680754422282574,21.128407,2025-11-19T17:25:20
46,24,64,256,16,1,980,0.0004824015113662625,354.8753316932018,18.54758256722746,173367.84793330074,416.3746485237793,-0.3451744941000392,12.397675,2025-11-19T17:25:42
47,12,64,256,16,1,1000,0.0005177051814054737,598.6295696828934,31.999438845875073,397758.6313434552,630.6810852907,-2.0862398770572863,14.406452,2025-11-19T17:25:56
48,24,64,256,4,1,963,0.00040130162509895124,571.1461203827631,30.50131922164006,377328.83111067925,614.2709753119377,-1.927723482464546,11.982654,2025-11-19T17:26:11
49,8,32,512,32,9,444,0.0014665531719660766,390.1945642646014,22.869311330529708,211953.07528451862,460.3836175240368,-0.6445602469985716,62.47243,2025-11-19T17:26:24
50,24,64,256,32,1,931,0.00022342512334026432,450.00383217475536,23.987529996736885,274020.93192276586,523.4700869417143,-1.1261495304125857,11.873484,2025-11-19T17:27:29
51,12,32,256,16,1,1000,0.00016205770649370364,355.3882514239981,18.663227376503865,172458.45138613813,415.2811714804057,-0.3381184162006561,25.833323,2025-11-19T17:27:41
52,8,32,512,32,10,360,0.0017964059789914602,401.2215519761899,23.560516754345386,223207.08704249127,472.4479728419747,-0.7318809916094811,55.864361,2025-11-19T17:28:08
53,12,32,256,32,3,1000,0.00015056519710039643,501.76760068875274,27.439544459214325,300435.88456625544,548.1203194247184,-1.3311051838538912,55.578932,2025-11-19T17:29:05
