trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
48,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.67242,2026-01-10T11:58:14
49,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.652699,2026-01-10T11:58:21
50,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.588114,2026-01-10T11:58:28
51,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.581816,2026-01-10T11:58:34
52,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.589793,2026-01-10T11:58:41
53,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.651746,2026-01-10T11:58:47
54,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.642589,2026-01-10T11:58:54
55,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.611584,2026-01-10T11:59:00
56,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.625481,2026-01-10T11:59:07
57,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.595913,2026-01-10T11:59:13
58,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.600562,2026-01-10T11:59:19
59,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.550121,2026-01-10T11:59:26
60,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.632231,2026-01-10T11:59:33
61,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.602696,2026-01-10T11:59:39
62,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.648371,2026-01-10T11:59:46
63,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.645467,2026-01-10T11:59:52
64,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.605874,2026-01-10T11:59:59
65,24,0,2,4,0,0,0,52,603.6024465396285,39.83042073743837,502705.2702642936,693.5259819840982,-29.87228053639637,21.89753850070513,0.175376,2026-01-10T12:00:06
66,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.630026,2026-01-10T12:00:07
67,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.594722,2026-01-10T12:00:13
68,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.629967,2026-01-10T12:00:20
69,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.602362,2026-01-10T12:00:27
70,24,0,0,0,0,1,2,52,2841.9560029573554,166.01516411144573,10308035.04002036,2961.4671035780298,-122.59052968503232,99.01648179145782,21.310733,2026-01-10T12:00:34
71,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.633515,2026-01-10T12:00:56
72,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.619011,2026-01-10T12:01:02
