trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at,effective_epochs
18,24,36,32,256,32,6,1359,2.1044835701370512e-05,94.51742355416168,7.358945500440102,17048.954031969537,130.57164329198562,-0.16263010128911026,117.216901,2025-11-23T14:31:06,1118
19,16,36,32,512,16,7,1287,2.0238996311453902e-05,84.39836145101238,6.565701301231111,9392.03442846497,96.91250914337617,0.30047869717444065,173.143507,2025-11-23T14:33:04,975
20,16,35,32,256,32,6,1339,2.8983408726606092e-05,76.24417417096403,5.992599910286409,8131.627618805038,90.17553780712947,0.39435414240400246,155.532421,2025-11-23T14:35:58,1339
21,16,34,32,512,32,5,1250,2.5335334176586225e-05,123.4656764129853,9.59119928132533,20748.688495489572,144.0440505383321,-0.5453680157195451,143.217175,2025-11-23T14:38:34,1069
22,16,40,32,256,16,7,1219,1.872128403695362e-05,89.27205050151964,6.801181976760073,10962.370692918412,104.70134045425785,0.1835196210603819,160.246238,2025-11-23T14:40:58,1219
23,12,32,16,512,8,8,1374,2.9399985539405704e-05,220.47949625750277,16.096029049824555,57101.549783104674,238.9593057051863,-2.3879751649435232,114.544609,2025-11-23T14:43:39,369
24,16,37,32,256,32,7,1193,2.2054477150437762e-05,107.81987149863072,8.185141134159052,17514.39551323335,132.34196429414726,-0.30447698642236953,161.882736,2025-11-23T14:45:34,1193
25,16,35,32,256,16,5,1291,2.2361743488043976e-05,73.48292964910009,5.791605121017838,8655.48879413047,93.0348794492177,0.35533681823909646,91.6633,2025-11-23T14:48:17,951
26,16,42,32,512,8,7,1401,2.3561874196220032e-05,94.66871939183862,7.274154506491416,12098.567680513726,109.9934892642002,0.09889535748013745,272.246611,2025-11-23T14:49:50,1373
27,16,38,32,256,32,5,1301,2.7529564336479433e-05,107.68424005536845,8.530176274949461,18679.071473890937,136.6713996192727,-0.39122237173522567,133.36882,2025-11-23T14:54:23,1301
28,16,32,32,256,16,6,1252,1.8133265340837156e-05,77.94560969551789,5.980757833959765,8983.420289916816,94.78090677935518,0.3309123903989729,139.667877,2025-11-23T14:56:37,1252
29,16,35,32,256,16,7,1404,2.848740019653747e-05,136.05023141061815,10.297686914557481,25077.17051924483,158.35772958477534,-0.8677545452383861,157.466138,2025-11-23T14:58:57,1198
30,16,37,32,256,16,6,1117,1.1906876042399419e-05,111.66553042922051,8.520923686539431,18355.895754629622,135.48393172118097,-0.3671521554363901,129.784771,2025-11-23T15:01:36,1117
31,16,32,32,256,16,5,1153,2.3569801824370447e-05,71.94271194423935,5.548298400594839,8023.879610137831,89.57611071115909,0.4023792436718715,94.897419,2025-11-23T15:03:46,1040
32,16,31,32,256,32,5,1180,2.2607527314485963e-05,73.4533721690109,5.842312937728446,8741.314353615264,93.49499640951522,0.3489445070051663,100.995871,2025-11-23T15:05:22,1079
33,24,33,32,256,16,5,1154,2.2396013352523914e-05,181.52784304315787,15.113299579529652,40536.37363773933,201.3364687227312,-1.7643225560913578,96.6748,2025-11-23T15:07:04,1154
