trial_index,test_size,window_size,hidden_size,num_layers,batch_size,lr,epochs,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
14,12,46,512,4,64,1e-05,2000,698.0199018071562,32.665037463716374,900843.9215482362,746.9305035970712,-11.535563325138996,15.848060079104425,22.622848,2026-01-02T08:20:06,129.66666666666666
15,12,43,512,4,128,4.77090620169679e-05,2000,662.1652875493438,30.361116454341367,841727.9766214088,712.7796239716012,-9.680067549645374,15.93763649807617,15.375556,2026-01-02T08:20:29,132.0
16,12,44,256,4,128,5.75836587093441e-05,2000,653.9075143093334,31.27350543732528,763248.6533788787,704.8327464346831,-10.954021189995084,13.198870849121299,15.18015,2026-01-02T08:20:45,156.66666666666666
17,12,46,1024,1,32,4.530092217613265e-05,2000,647.0256188980276,27.88285643687802,916042.6693284259,692.7692446505665,-8.432616698734003,20.26311478558945,14.757762,2026-01-02T08:21:01,109.0
18,12,44,1024,4,64,0.000105869663928196,2000,698.9704061856061,32.34649813994381,885181.3324037021,741.1420517329999,-9.625725022711327,15.324404919994427,39.765504,2026-01-02T08:21:16,112.0
19,12,36,512,4,128,2.8792358490574663e-05,2000,722.8591157582204,34.4993862825252,933561.6170196709,773.4959989437784,-12.978602855947848,14.842613974098642,12.82126,2026-01-02T08:21:57,119.0
20,12,47,1024,1,32,4.619976908063788e-05,2000,713.498851733271,31.86893740761408,991912.8841831113,763.357092350021,-9.786424642843823,18.825850823370445,14.020178,2026-01-02T08:22:10,102.33333333333333
21,12,47,512,1,32,3.2049987441592297e-05,2000,664.7195590566868,28.96789528122592,954769.7870308529,724.1587698102757,-9.51741412099131,19.71806944315505,10.172049,2026-01-02T08:22:25,106.0
22,12,49,512,4,128,5.2709134688583935e-05,2000,645.1870872726511,30.502544027898754,760263.7545591256,694.4251994648877,-10.22277388441207,14.127786528825782,17.961333,2026-01-02T08:22:36,133.66666666666666
23,12,47,512,4,128,4.293940854405615e-05,2000,664.725647928033,31.11568544375055,825068.5691643726,712.0083411010734,-10.707590887156622,15.606331261414065,17.113265,2026-01-02T08:22:54,135.33333333333334
24,12,49,512,4,128,0.00022430452165559222,2000,583.8989181189207,25.061535573020823,755737.5798221115,637.582246218601,-6.879864190472374,17.73761579041785,14.789549,2026-01-02T08:23:12,114.33333333333333
25,12,51,512,4,128,0.000452703339198587,2000,639.6541537302496,26.687549406116077,941427.7475703106,692.9941462247745,-8.02987089069033,21.449141346309023,14.243917,2026-01-02T08:23:27,107.33333333333333
26,12,48,512,4,128,0.00035452193809241565,2000,729.5772109273595,35.481758016470344,880075.9239321699,772.2397975255311,-12.426736863425043,12.501434540905407,13.7488,2026-01-02T08:23:42,108.0
27,12,52,1024,3,128,0.00018479069702060556,2000,730.4667745938092,36.229843580237166,864731.6863831361,776.2190277675371,-14.617413501007581,13.190530658432069,27.452427,2026-01-02T08:23:56,107.66666666666667
28,12,52,512,4,128,0.00016844125431593988,2000,710.5302303119306,33.805160031297,913798.5494101696,756.2661336114151,-13.195164569469014,16.64979397290109,14.711981,2026-01-02T08:24:24,113.0
29,12,48,1024,1,32,1.636571546729934e-05,2000,701.6448041687855,31.747129222927125,971266.6099981171,760.9817269221402,-11.335783264022504,18.927398234911127,14.853263,2026-01-02T08:24:40,107.33333333333333
30,12,49,512,1,32,8.857263337829677e-05,2000,741.2351191826068,34.71437555987355,1026824.153623806,791.8690365072698,-13.630477379748962,17.76120692506981,10.4679,2026-01-02T08:24:55,107.66666666666667
31,12,45,512,1,32,1.8201530407424596e-05,2000,690.5763480915693,31.28940605386343,956431.4702149085,749.0435146908973,-10.835775048861903,17.85731807927809,10.019706,2026-01-02T08:25:06,110.66666666666667
32,12,49,256,4,128,0.00017507652769482374,2000,640.170341864672,29.352234378692568,791317.3287745813,692.4715611940886,-9.24394138214412,15.110602376757749,12.335725,2026-01-02T08:25:17,121.66666666666667
33,12,50,512,4,64,0.00022217238189812106,2000,619.0869506323763,25.812440261660324,879461.2284702319,668.1901124786203,-7.3633325390858815,20.85208071280133,20.002512,2026-01-02T08:25:30,106.33333333333333
34,12,48,1024,1,64,1.3296684787427925e-05,2000,676.6624078586032,30.53580122718383,913824.5696242959,737.8214461252911,-10.599380497760063,18.280966165205925,10.198439,2026-01-02T08:25:51,117.33333333333333
35,12,49,256,1,32,1e-05,2000,709.5958869017031,33.0243206192086,914492.5095305424,750.7483471841352,-11.558245472039518,16.578349410787478,12.120857,2026-01-02T08:26:02,132.0
36,12,44,1024,1,64,3.710503303524178e-05,2000,683.1483217209078,30.638154072885527,931766.7460287797,744.1431715163329,-10.303931460814573,18.402793516491748,8.749168,2026-01-02T08:26:14,106.33333333333333
37,12,44,1024,1,32,3.497099515026194e-05,2000,673.3661528264785,29.736005409907108,915053.4556038105,728.2976874746428,-8.987384003004049,18.605746969116876,13.481854,2026-01-02T08:26:24,103.33333333333333
38,12,50,512,4,64,0.0002669696323537387,2000,734.565319887436,36.46345137197372,895031.0610972667,761.7209156143944,-12.272743263072323,12.7516737890203,25.262976,2026-01-02T08:26:38,138.0
39,12,51,256,4,128,0.0002927092135188822,2000,689.4232613796459,32.87966178637854,852892.723797379,737.3553463390377,-12.356317738526437,14.971574672757509,12.936502,2026-01-02T08:27:04,117.33333333333333
40,12,48,512,4,128,0.00011814960292242823,2000,640.7908402565921,30.207695546470223,761427.842150411,689.1826084782738,-10.28466305634595,14.697901560961384,15.793118,2026-01-02T08:27:17,121.0
41,12,50,1024,4,128,0.0001679031339347355,2000,608.3212979884296,25.706357609517426,827189.7998532221,662.9584312018507,-7.172928546878468,19.382949020627553,36.988151,2026-01-02T08:27:34,109.0
42,12,49,1024,4,128,0.00013710568589661286,2000,602.6417966002035,27.831116277633058,726667.9793578996,636.1368750042863,-8.356375156389875,15.688483423215585,48.425868,2026-01-02T08:28:11,147.0
43,12,26,1024,4,32,1e-05,2000,780.26197002037,38.723779421289684,1032195.1945322724,819.2505650585193,-19.61610049931386,19.373653726506504,42.228183,2026-01-02T08:29:00,109.0
44,12,52,32,1,32,9.503126935338151e-05,2000,798.8106053352755,44.70525997972816,980267.2620892095,953.7426321620642,-31.22195062414563,2.2885967496324224,6.45722,2026-01-02T08:29:43,175.33333333333334
45,12,51,1024,4,128,0.0001649131830680503,2000,629.2137441506846,26.344085841008404,894875.3426920216,684.1871734235607,-7.599107167847578,20.611542434242512,38.133722,2026-01-02T08:29:50,109.66666666666667
46,12,42,1024,1,32,2.3701413634643077e-05,2000,740.8304476827831,34.75170927467594,1014712.9443011602,795.2580750429009,-14.179504063602389,18.68880869359099,13.286324,2026-01-02T08:30:29,105.33333333333333
47,12,48,1024,1,64,3.448381435501456e-05,2000,700.0184093693161,32.20368473790191,951404.2133779144,756.8642685375713,-12.069992733482477,18.139072862963516,10.522538,2026-01-02T08:30:43,118.33333333333333
48,12,26,1024,1,128,0.001,2000,688.5619808513821,33.1003147110978,864244.6402492438,736.0044990357427,-13.068589891696883,15.611346261351809,5.657048,2026-01-02T08:30:54,107.0
49,12,47,1024,1,32,0.0002608058624679365,2000,793.1343287308472,37.560079575650995,1162034.0312643398,822.3310721390911,-13.205780630900813,18.625636423123222,17.95612,2026-01-02T08:31:01,132.33333333333334
50,12,26,1024,1,32,0.001,2000,615.2096695550161,27.721348499814397,774117.7463448656,658.7977602778416,-6.986676503743786,17.04162884227402,17.055805,2026-01-02T08:31:19,173.66666666666666
51,12,42,1024,1,128,1.0970196331236043e-05,2000,695.2154522696578,31.524540251177957,956373.2902829625,757.0846257130248,-11.29007277087762,18.447185418285496,8.889649,2026-01-02T08:31:37,136.66666666666666
52,12,50,512,1,128,1e-05,2000,678.4218126102892,30.00202269371383,967797.4120005803,742.7010550873283,-10.078124780005796,18.788768004686272,6.441586,2026-01-02T08:31:47,162.33333333333334
